state_from,state_to,n_transitions,transition_prob
aki_severe,aki_severe,1389,0.22493927125506072
aki_severe,aki_stage1,318,0.051497975708502022
aki_severe,ckd_no_aki,1913,0.30979757085020243
aki_severe,death,1031,0.16696356275303645
aki_severe,rrt,94,0.015222672064777327
aki_severe,stable,1430,0.23157894736842105
aki_stage1,aki_severe,353,0.15235217954251187
aki_stage1,aki_stage1,200,0.086318515321536476
aki_stage1,ckd_no_aki,910,0.39274924471299094
aki_stage1,death,288,0.12429866206301252
aki_stage1,rrt,21,0.00906344410876133
aki_stage1,stable,545,0.23521795425118688
ckd_no_aki,aki_severe,1365,0.059265369920111152
ckd_no_aki,aki_stage1,693,0.030088572420979506
ckd_no_aki,ckd_no_aki,19175,0.83253733935394236
ckd_no_aki,death,1640,0.07120527961097603
ckd_no_aki,rrt,159,0.0069034386939909693
rrt,aki_severe,156,0.21727019498607242
rrt,aki_stage1,30,0.041782729805013928
rrt,ckd_no_aki,192,0.26740947075208915
rrt,death,176,0.24512534818941503
rrt,rrt,137,0.19080779944289694
rrt,stable,27,0.037604456824512536
stable,aki_severe,828,0.048497627833421195
stable,aki_stage1,362,0.021203069173548878
stable,death,1251,0.073273589878755929
stable,rrt,19,0.0011128682715398582
stable,stable,14613,0.85591284484273411